loss,val_loss
33.01658630371094,9.073182106018066
10.764113426208496,8.157241821289062
10.126313209533691,8.001357078552246
9.942802429199219,7.9174370765686035
9.711886405944824,7.921755790710449
9.598642349243164,7.82875919342041
9.606086730957031,7.787636756896973
9.483942031860352,7.790745735168457
9.430078506469727,7.78831672668457
9.516036987304688,7.792320728302002
9.467536926269531,7.753886699676514
9.44445514678955,7.730133056640625
9.408125877380371,7.873337268829346
9.412259101867676,7.730390548706055
9.45716667175293,7.712251663208008
9.42726993560791,7.75417423248291
9.3796968460083,7.823720932006836
9.256389617919922,7.686732292175293
9.399906158447266,7.7009968757629395
9.341999053955078,7.753401279449463
9.274928092956543,7.7247314453125
9.276257514953613,7.711639881134033
9.313302993774414,7.7788405418396
