loss,mae,val_loss,val_mae
73.7646484375,73.7646484375,36.898094177246094,36.898094177246094
41.03935623168945,41.03935623168945,36.839019775390625,36.839019775390625
40.974761962890625,40.974761962890625,37.17267990112305,37.17267990112305
40.962890625,40.962890625,36.85940933227539,36.85940933227539
40.89080047607422,40.89080047607422,36.79718017578125,36.79718017578125
40.83161544799805,40.83161544799805,36.80852508544922,36.80852508544922
40.85685729980469,40.85685729980469,36.8213005065918,36.8213005065918
40.742855072021484,40.742855072021484,36.892704010009766,36.892704010009766
40.785240173339844,40.785240173339844,36.7933349609375,36.7933349609375
40.77580261230469,40.77580261230469,36.808563232421875,36.808563232421875
40.74567413330078,40.74567413330078,36.79484558105469,36.79484558105469
40.64426040649414,40.64426040649414,36.80213928222656,36.80213928222656
40.66267013549805,40.66267013549805,36.77962112426758,36.77962112426758
40.58498764038086,40.58498764038086,36.8073616027832,36.8073616027832
40.5682258605957,40.5682258605957,36.87604522705078,36.87604522705078
40.5280647277832,40.5280647277832,36.912715911865234,36.912715911865234
40.520015716552734,40.520015716552734,36.80900192260742,36.80900192260742
