loss,val_loss
908.019775390625,118.82653045654297
129.98666381835938,105.28365325927734
123.38710021972656,102.93093872070312
123.091796875,102.30408477783203
120.45623779296875,101.64187622070312
121.30267333984375,101.12811279296875
120.49793243408203,101.35657501220703
118.75145721435547,101.08218383789062
118.6249771118164,100.71672821044922
118.52696990966797,102.72834777832031
119.3600845336914,101.33544158935547
117.98689270019531,101.15254211425781
118.21373748779297,100.59815216064453
117.02643585205078,99.94741821289062
115.70389556884766,100.39411926269531
116.45323181152344,100.1742935180664
117.58096313476562,100.33744049072266
117.49840545654297,100.3868637084961
116.0727310180664,100.18013763427734
