loss,val_loss
1310.624267578125,189.64598083496094
344.94366455078125,166.84429931640625
307.572998046875,152.63046264648438
288.5375671386719,148.347412109375
281.6596984863281,146.40846252441406
283.1373291015625,159.3275909423828
275.1014709472656,147.01483154296875
270.75439453125,142.98944091796875
275.1251220703125,139.53897094726562
271.3797912597656,140.0400390625
271.8720397949219,146.59280395507812
267.8482971191406,144.0738983154297
269.30816650390625,140.75546264648438
264.7176208496094,146.3838348388672
