loss,mae,val_loss,val_mae
69.25532531738281,69.25532531738281,34.51240539550781,34.51240539550781
38.93369674682617,38.93369674682617,34.44961929321289,34.44961929321289
38.885154724121094,38.885154724121094,34.67134475708008,34.67134475708008
38.87507247924805,38.87507247924805,34.59524917602539,34.59524917602539
38.791839599609375,38.791839599609375,34.492984771728516,34.492984771728516
38.731414794921875,38.731414794921875,34.427555084228516,34.427555084228516
38.75497817993164,38.75497817993164,34.412628173828125,34.412628173828125
38.688350677490234,38.688350677490234,34.48008728027344,34.48008728027344
38.638694763183594,38.638694763183594,35.09624481201172,35.09624481201172
38.675559997558594,38.675559997558594,34.44501495361328,34.44501495361328
38.58962631225586,38.58962631225586,34.424842834472656,34.424842834472656
