loss,val_loss
1258.92529296875,180.4942626953125
188.55892944335938,147.02745056152344
169.4337921142578,140.19387817382812
168.15951538085938,138.88323974609375
164.17840576171875,138.7946319580078
164.22853088378906,138.03831481933594
163.96151733398438,138.12660217285156
162.76011657714844,137.9007568359375
163.7295684814453,138.22581481933594
162.5644073486328,138.58006286621094
161.3412322998047,137.89195251464844
161.1041259765625,137.9412841796875
161.27920532226562,137.6226806640625
163.1447296142578,138.45237731933594
159.7411651611328,137.88339233398438
160.92587280273438,137.77711486816406
160.85536193847656,140.1610870361328
160.922607421875,137.56874084472656
160.41737365722656,137.9391632080078
163.2996063232422,137.3649444580078
160.83079528808594,137.93214416503906
160.24049377441406,137.81607055664062
159.9734649658203,136.97894287109375
161.0801544189453,137.15826416015625
159.91616821289062,137.3174591064453
161.10076904296875,136.92715454101562
159.46945190429688,136.85269165039062
159.8050537109375,136.97166442871094
158.64120483398438,137.45094299316406
160.29067993164062,137.69371032714844
159.2169952392578,137.2008819580078
159.81158447265625,137.1273956298828
