loss,val_loss
64196.17578125,61935.453125
54480.7890625,39137.9609375
17331.119140625,3177.4951171875
4367.84814453125,2402.56884765625
3435.468017578125,1922.0841064453125
3281.154052734375,1845.175048828125
3136.260009765625,1850.6400146484375
3227.984375,1824.48974609375
3119.544921875,1818.135986328125
3105.93701171875,1793.3587646484375
3070.129638671875,1784.989990234375
3086.51318359375,1793.95849609375
3030.931396484375,1816.97412109375
2988.67724609375,1783.532958984375
2966.191162109375,1768.1258544921875
2976.412109375,1774.37353515625
2992.663818359375,1774.0733642578125
2949.919189453125,1760.9949951171875
2938.9931640625,1778.781005859375
2932.390869140625,1764.4027099609375
2908.67431640625,1775.0687255859375
2898.98291015625,1770.1075439453125
