accuracy,loss,val_accuracy,val_loss
0.916796863079071,0.34140515327453613,0.9178125262260437,0.31900525093078613
0.9200780987739563,0.30619728565216064,0.9193750023841858,0.29827359318733215
0.9221875071525574,0.28622692823410034,0.9184374809265137,0.28629863262176514
0.9217968583106995,0.2751162350177765,0.9181249737739563,0.2745150327682495
0.921875,0.26444026827812195,0.9190624952316284,0.2687142491340637
0.9234374761581421,0.25454840064048767,0.918749988079071,0.2599133551120758
0.9234374761581421,0.24932226538658142,0.9190624952316284,0.2535969614982605
0.9228906035423279,0.2424236536026001,0.9193750023841858,0.2485271692276001
0.9237499833106995,0.2402539700269699,0.9203125238418579,0.24620001018047333
0.9221875071525574,0.23638655245304108,0.9200000166893005,0.243901327252388
0.9233593940734863,0.23434075713157654,0.9212499856948853,0.2402641475200653
0.9221875071525574,0.23331859707832336,0.918749988079071,0.23858642578125
0.9225000143051147,0.23022902011871338,0.9193750023841858,0.2390056997537613
0.9225780963897705,0.2294451743364334,0.9203125238418579,0.2377908080816269
0.923046886920929,0.22775709629058838,0.9196875095367432,0.23714326322078705
0.9221093654632568,0.22787481546401978,0.9190624952316284,0.23508267104625702
0.9239062666893005,0.22541366517543793,0.9190624952316284,0.2357824295759201
0.9235937595367432,0.22516852617263794,0.9200000166893005,0.2339586317539215
0.9231250286102295,0.22537757456302643,0.9193750023841858,0.2352825403213501
0.9239062666893005,0.224265456199646,0.9196875095367432,0.2352510243654251
0.9229687452316284,0.22421053051948547,0.9196875095367432,0.2367929220199585
0.9235937595367432,0.22354134917259216,0.9193750023841858,0.23198257386684418
0.9233593940734863,0.22268961369991302,0.918749988079071,0.23152080178260803
0.9231250286102295,0.22361226379871368,0.9193750023841858,0.23142623901367188
0.9232031106948853,0.2236510068178177,0.9200000166893005,0.23282863199710846
0.9221875071525574,0.22315755486488342,0.918749988079071,0.23274266719818115
0.923046886920929,0.22276702523231506,0.9190624952316284,0.23128783702850342
0.9225780963897705,0.2234574258327484,0.9200000166893005,0.2311083823442459
0.9227343797683716,0.2234160304069519,0.9196875095367432,0.23064757883548737
0.9228125214576721,0.22222228348255157,0.9206249713897705,0.2310786247253418
0.9235937595367432,0.22249983251094818,0.9203125238418579,0.2323039174079895
0.9233593940734863,0.22172778844833374,0.9196875095367432,0.23102737963199615
0.9223437309265137,0.2225169986486435,0.9178125262260437,0.23086479306221008
0.9240624904632568,0.2210877239704132,0.9190624952316284,0.22979450225830078
0.9231250286102295,0.22114357352256775,0.9193750023841858,0.23006123304367065
0.9227343797683716,0.22225916385650635,0.918749988079071,0.2299579232931137
0.9232031106948853,0.22133104503154755,0.918749988079071,0.2297120988368988
0.9231250286102295,0.221995010972023,0.9203125238418579,0.23266534507274628
0.9233593940734863,0.22215420007705688,0.9196875095367432,0.23034192621707916
0.9231250286102295,0.22294609248638153,0.9190624952316284,0.2294459342956543
0.9229687452316284,0.22265522181987762,0.9206249713897705,0.23158958554267883
0.9228125214576721,0.22158199548721313,0.9190624952316284,0.2296164631843567
0.9221875071525574,0.22220361232757568,0.9193750023841858,0.2314951866865158
0.922656238079071,0.2214677482843399,0.9190624952316284,0.22970688343048096
0.923046886920929,0.22187183797359467,0.9190624952316284,0.23110970854759216
