loss,val_loss
1005.8948974609375,117.99308776855469
130.59571838378906,106.1908950805664
126.1619644165039,105.2343521118164
126.419677734375,104.73298645019531
121.9813461303711,104.02526092529297
121.82585906982422,103.40059661865234
120.99815368652344,102.58733367919922
120.3134765625,102.73396301269531
119.38362121582031,102.3166732788086
119.39002990722656,101.8055648803711
119.12518310546875,102.97766876220703
118.35336303710938,102.10615539550781
117.59688568115234,102.05060577392578
117.83524322509766,101.95706176757812
118.28899383544922,103.53076934814453
