loss,val_loss
1497.699951171875,224.47853088378906
210.05613708496094,154.9041748046875
179.8162841796875,143.8865509033203
175.25633239746094,141.95680236816406
175.3800811767578,140.61868286132812
174.46817016601562,140.14759826660156
172.20535278320312,140.4886932373047
172.3983612060547,139.91624450683594
169.00155639648438,141.03517150878906
168.26730346679688,139.6374053955078
172.6171875,139.52589416503906
170.31736755371094,139.608642578125
169.40301513671875,139.8630828857422
167.5524444580078,139.33975219726562
167.29771423339844,139.4594268798828
168.00718688964844,140.40464782714844
170.21751403808594,139.47439575195312
165.88037109375,140.20042419433594
167.90591430664062,139.76449584960938
