loss,mae,val_loss,val_mae
69.42317199707031,69.67350006103516,35.00736999511719,35.25813293457031
46.978370666503906,47.23417282104492,37.28553771972656,37.548439025878906
46.70620346069336,46.971405029296875,34.301151275634766,34.57036209106445
46.61302185058594,46.88865661621094,34.81146240234375,35.092472076416016
46.503684997558594,46.789249420166016,34.2712516784668,34.56120300292969
46.36788558959961,46.66293716430664,34.25188064575195,34.54978942871094
46.1959342956543,46.5003776550293,34.47409439086914,34.781822204589844
45.993282318115234,46.30647659301758,34.33057403564453,34.6475715637207
46.03715133666992,46.35892868041992,34.79670715332031,35.12274169921875
45.6519889831543,45.98120880126953,34.11783218383789,34.44890213012695
45.59010696411133,45.925960540771484,34.108097076416016,34.446144104003906
45.479331970214844,45.821815490722656,34.1639518737793,34.50765609741211
45.198543548583984,45.546104431152344,34.43904113769531,34.788490295410156
45.2036247253418,45.55681228637695,34.897918701171875,35.25355529785156
45.00873947143555,45.367210388183594,34.153568267822266,34.51348114013672
