accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6098553538322449,0.6742700934410095,0.6642205119132996,0.6159131526947021,0.7016630172729492,0.6477289795875549
0.6171035170555115,0.6916030645370483,0.6486923694610596,0.6290779113769531,0.702789306640625,0.6335762143135071
0.6188697218894958,0.6943931579589844,0.6437322497367859,0.6200319528579712,0.7031891345977783,0.6396823525428772
0.6183024644851685,0.6960034370422363,0.6400081515312195,0.609388530254364,0.7038061618804932,0.6419481635093689
0.6194301247596741,0.6971377730369568,0.6374506950378418,0.6314067244529724,0.703464686870575,0.6252065896987915
0.6189240217208862,0.6978769898414612,0.6355138421058655,0.6336585879325867,0.703812837600708,0.6187394261360168
0.619579553604126,0.6980814933776855,0.6344174742698669,0.6204168796539307,0.7043828964233398,0.6293677091598511
0.6186931133270264,0.6980090141296387,0.6339438557624817,0.6298285126686096,0.7039509415626526,0.6151342391967773
0.6207174062728882,0.6991720199584961,0.6331933736801147,0.6180880069732666,0.7040139436721802,0.6225094199180603
0.6185809969902039,0.6981255412101746,0.633477509021759,0.600381076335907,0.7044274210929871,0.6427631974220276
0.6186387538909912,0.6986504793167114,0.632876992225647,0.6332929134368896,0.7043907642364502,0.6137003898620605
0.6184519529342651,0.698392391204834,0.6330291628837585,0.6113901734352112,0.7043724656105042,0.6395110487937927
0.618686318397522,0.6982565522193909,0.632936954498291,0.6042304039001465,0.7042971849441528,0.6459603905677795
0.6180239915847778,0.6986931562423706,0.6326501369476318,0.6229382157325745,0.7044204473495483,0.6260141134262085
0.6189749836921692,0.6986312866210938,0.6325240731239319,0.5962815284729004,0.7043955326080322,0.6409229636192322
