loss,val_loss
1307.3609619140625,147.27130126953125
320.0105895996094,116.02841186523438
284.8666687011719,125.30778503417969
272.8603515625,119.10653686523438
273.7122802734375,118.8978500366211
260.7040100097656,129.28994750976562
263.9748229980469,111.15150451660156
258.4845886230469,117.2625961303711
260.784423828125,129.44036865234375
253.9505615234375,115.05928039550781
251.44190979003906,106.8683853149414
248.18629455566406,112.32848358154297
254.54624938964844,116.16413879394531
251.42562866210938,115.19479370117188
250.27488708496094,112.36132049560547
246.0332794189453,114.81427764892578
