accuracy,loss,val_accuracy,val_loss
0.7225000262260437,0.5992865562438965,0.7604166865348816,0.5092979073524475
0.7534558773040771,0.5548868179321289,0.7733333110809326,0.5002213716506958
0.7584558725357056,0.542938232421875,0.7766666412353516,0.4930453896522522
0.7581617832183838,0.5389703512191772,0.7737500071525574,0.49245956540107727
0.7613235116004944,0.534672737121582,0.7762500047683716,0.49206018447875977
0.7618382573127747,0.5274034142494202,0.7770833373069763,0.4920949339866638
0.7676470875740051,0.5207611322402954,0.777916669845581,0.488139808177948
0.7669117450714111,0.5202209949493408,0.7774999737739563,0.48803165555000305
0.7652941346168518,0.5200660824775696,0.7795833349227905,0.48814040422439575
0.7662500143051147,0.5193167328834534,0.778333306312561,0.4879687428474426
0.7672793865203857,0.5181750059127808,0.7770833373069763,0.48856621980667114
0.769558846950531,0.5139628648757935,0.7754166722297668,0.4866909682750702
0.7672793865203857,0.5145551562309265,0.7754166722297668,0.4867671728134155
0.7719852924346924,0.5096215009689331,0.7758333086967468,0.4859158396720886
0.7714706063270569,0.5099255442619324,0.7766666412353516,0.4878750741481781
0.7699999809265137,0.50961834192276,0.7787500023841858,0.4852353036403656
0.7699999809265137,0.5086250305175781,0.778333306312561,0.48555639386177063
0.7709558606147766,0.5086842179298401,0.7766666412353516,0.4850407540798187
0.7734558582305908,0.5066670179367065,0.7766666412353516,0.4844051003456116
0.7708823680877686,0.5071582198143005,0.7766666412353516,0.48515239357948303
0.7725735306739807,0.506477952003479,0.7774999737739563,0.4839833080768585
0.7708088159561157,0.5058821439743042,0.7791666388511658,0.48462754487991333
0.7732353210449219,0.5042207837104797,0.7770833373069763,0.48438966274261475
0.770588219165802,0.5073066353797913,0.7758333086967468,0.4845244884490967
0.772352933883667,0.5050881505012512,0.7762500047683716,0.48356446623802185
0.7714706063270569,0.502250611782074,0.777916669845581,0.4838733375072479
0.7680882215499878,0.5036649107933044,0.778333306312561,0.4827629029750824
0.7680147290229797,0.5049297213554382,0.7749999761581421,0.48270389437675476
0.771397054195404,0.501836359500885,0.7774999737739563,0.482382208108902
0.7719852924346924,0.501120924949646,0.778333306312561,0.48288804292678833
0.7722058892250061,0.5006088614463806,0.7804166674613953,0.48224684596061707
0.7708088159561157,0.5030502676963806,0.7762500047683716,0.483260840177536
0.7772058844566345,0.4998783469200134,0.778333306312561,0.48187312483787537
0.7717646956443787,0.49965301156044006,0.7774999737739563,0.4815123379230499
0.771397054195404,0.4991976320743561,0.7774999737739563,0.4814856946468353
