loss,mae,val_loss,val_mae
64.48848724365234,64.48848724365234,33.006202697753906,33.006202697753906
37.54359436035156,37.54359436035156,32.868995666503906,32.868995666503906
37.38709259033203,37.38709259033203,32.90012741088867,32.90012741088867
37.325096130371094,37.325096130371094,32.728858947753906,32.728858947753906
37.34764099121094,37.34764099121094,32.89717483520508,32.89717483520508
37.12748336791992,37.12748336791992,32.60710525512695,32.60710525512695
37.04121017456055,37.04121017456055,32.58460235595703,32.58460235595703
37.07371139526367,37.07371139526367,32.4724235534668,32.4724235534668
36.9910774230957,36.9910774230957,32.676910400390625,32.676910400390625
36.99003219604492,36.99003219604492,32.486541748046875,32.486541748046875
36.87984085083008,36.87984085083008,32.39827346801758,32.39827346801758
36.894187927246094,36.894187927246094,32.444976806640625,32.444976806640625
36.85316848754883,36.85316848754883,32.36419677734375,32.36419677734375
36.76670837402344,36.76670837402344,32.33091735839844,32.33091735839844
36.79856872558594,36.79856872558594,32.32432556152344,32.32432556152344
36.74861526489258,36.74861526489258,32.39486312866211,32.39486312866211
36.72710418701172,36.72710418701172,32.33294677734375,32.33294677734375
36.668365478515625,36.668365478515625,32.37525939941406,32.37525939941406
36.61825942993164,36.61825942993164,32.307403564453125,32.307403564453125
36.635074615478516,36.635074615478516,32.410369873046875,32.410369873046875
36.57451629638672,36.57451629638672,32.48868179321289,32.48868179321289
36.52906036376953,36.52906036376953,32.553199768066406,32.553199768066406
36.55729675292969,36.55729675292969,32.32826614379883,32.32826614379883
