loss,val_loss
1973.7989501953125,142.8392333984375
409.5248107910156,134.23446655273438
319.9088439941406,125.72578430175781
294.41583251953125,115.72351837158203
282.5155334472656,117.11421966552734
277.2617492675781,115.12448120117188
272.0599670410156,111.8852310180664
263.95703125,116.93739318847656
267.1185302734375,104.63667297363281
260.3748779296875,105.25212097167969
255.92459106445312,104.32599639892578
261.2173156738281,104.99835968017578
255.00521850585938,118.04135131835938
247.22845458984375,112.88363647460938
257.7101135253906,106.82532501220703
254.4654083251953,109.98340606689453
