accuracy,loss,val_accuracy,val_loss
0.9039062261581421,0.28482386469841003,0.9200000166893005,0.22846609354019165
0.9210156202316284,0.2308836132287979,0.9212499856948853,0.22477339208126068
0.9223437309265137,0.22475826740264893,0.9209374785423279,0.2232392430305481
0.9228906035423279,0.21978969871997833,0.9206249713897705,0.221966952085495
0.9229687452316284,0.21878892183303833,0.9215624928474426,0.2225213646888733
0.9237499833106995,0.2162281572818756,0.9209374785423279,0.22121314704418182
0.9233593940734863,0.21646501123905182,0.9206249713897705,0.22375760972499847
0.9243749976158142,0.21597357094287872,0.9209374785423279,0.22115355730056763
0.9257031083106995,0.213137686252594,0.9212499856948853,0.2211516946554184
0.9244531393051147,0.21403981745243073,0.9209374785423279,0.2207236886024475
0.9246875047683716,0.2124798446893692,0.9196875095367432,0.22063004970550537
0.9252343773841858,0.2107117772102356,0.9200000166893005,0.2205994576215744
0.9243749976158142,0.21127019822597504,0.9212499856948853,0.2206253558397293
0.9252343773841858,0.2102620154619217,0.9212499856948853,0.2210005521774292
0.9253125190734863,0.20912307500839233,0.9203125238418579,0.2227301150560379
0.9242968559265137,0.20996734499931335,0.9209374785423279,0.2244204580783844
0.9248437285423279,0.2083093225955963,0.9196875095367432,0.2216201275587082
