accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6180171966552734,0.6348669528961182,0.6757751703262329,0.6669938564300537,0.6468615531921387,0.6626735329627991
0.6253299117088318,0.6439629793167114,0.6672089695930481,0.6677444577217102,0.6496434211730957,0.6606665849685669
0.620598554611206,0.6465303301811218,0.6637037992477417,0.5584425330162048,0.6523544788360596,0.6676508784294128
0.6225549578666687,0.6472365856170654,0.6619231104850769,0.5863502621650696,0.6521112322807312,0.6672893762588501
0.6289302110671997,0.6485909223556519,0.6604635715484619,0.6588525176048279,0.6520435214042664,0.665127158164978
0.6239067316055298,0.6492323875427246,0.6597577929496765,0.6730565428733826,0.6529251337051392,0.6465789675712585
0.6307235360145569,0.6496273279190063,0.6593490839004517,0.5975133180618286,0.652367115020752,0.6498419642448425
0.6281048655509949,0.6497832536697388,0.6589849591255188,0.6449756622314453,0.6527310609817505,0.6688990592956543
0.6260703206062317,0.6498916149139404,0.6588776111602783,0.6778489947319031,0.6536471843719482,0.6439473628997803
0.6249392628669739,0.6502676010131836,0.658745288848877,0.6517889499664307,0.6522982120513916,0.656058669090271
0.627870500087738,0.6503558158874512,0.658672571182251,0.645283579826355,0.652479887008667,0.6535879373550415
0.6239950656890869,0.6507055163383484,0.6584974527359009,0.6744423508644104,0.6543979644775391,0.6457924842834473
0.6304892301559448,0.6508959531784058,0.6583329439163208,0.672710120677948,0.6535820364952087,0.6439288854598999
0.629086434841156,0.6507794857025146,0.6584604382514954,0.6504802107810974,0.6535295844078064,0.6597433686256409
0.6236995458602905,0.650860607624054,0.6585059762001038,0.5939911603927612,0.6538131833076477,0.6535824537277222
0.6238354444503784,0.6508654356002808,0.6584309339523315,0.6711126565933228,0.6532523036003113,0.6459722518920898
0.6243143081665039,0.6514248251914978,0.6580182313919067,0.6455530524253845,0.6532060503959656,0.6608858704566956
