loss,mae,val_loss,val_mae
10623.20703125,72.67222595214844,1690.56298828125,32.88920974731445
3334.971435546875,45.931678771972656,1671.319091796875,32.64613723754883
3315.58154296875,45.75356674194336,1668.74951171875,32.65354919433594
3294.965087890625,45.61048126220703,1689.62109375,32.83073425292969
3287.1044921875,45.559383392333984,1653.0001220703125,32.518287658691406
3283.17138671875,45.51409912109375,1699.566162109375,32.84235763549805
3268.82958984375,45.43360137939453,1647.725341796875,32.44381332397461
3261.618896484375,45.38026428222656,1674.43359375,32.625587463378906
3171.0693359375,44.70878982543945,1666.9703369140625,32.56642532348633
3138.471923828125,44.503963470458984,1703.8321533203125,32.87590408325195
3143.0029296875,44.562477111816406,1626.2047119140625,32.32898712158203
3117.57373046875,44.318450927734375,1649.75048828125,32.439781188964844
3101.001708984375,44.19524383544922,1657.994140625,32.511104583740234
3093.924560546875,44.16814422607422,1668.3350830078125,32.57218551635742
3073.26318359375,44.07088851928711,1754.713623046875,33.26020431518555
