loss,val_loss
1005.2747802734375,124.25309753417969
142.2648468017578,111.0470199584961
135.37159729003906,108.29784393310547
132.8029022216797,108.27730560302734
133.7155303955078,106.56816101074219
131.498046875,107.05652618408203
130.27099609375,106.17815399169922
131.45327758789062,106.51751708984375
128.38067626953125,104.9743423461914
127.56295776367188,105.13459777832031
129.6239013671875,104.43321228027344
127.2831802368164,104.15335845947266
128.6602783203125,104.19152069091797
128.11717224121094,104.26294708251953
125.5036392211914,105.01746368408203
127.37776184082031,104.44181823730469
126.17166137695312,105.54244995117188
