loss,val_loss
1607.83203125,234.03599548339844
392.7333984375,149.8599853515625
326.23651123046875,138.8856964111328
304.5821838378906,137.30062866210938
303.26788330078125,126.49139404296875
301.2983093261719,131.1158905029297
279.68792724609375,125.29768371582031
285.7017517089844,128.64222717285156
278.55767822265625,119.30525207519531
277.95111083984375,128.56008911132812
273.2023620605469,127.34019470214844
277.78741455078125,123.361328125
271.6876220703125,135.16720581054688
270.6314697265625,119.11035919189453
273.0432434082031,126.69060516357422
270.22052001953125,121.68363189697266
263.46209716796875,127.17603302001953
265.5829772949219,128.65892028808594
265.7377624511719,125.34799194335938
