loss,val_loss
31.10028839111328,12.88844108581543
10.055477142333984,9.159887313842773
9.223339080810547,9.059643745422363
9.096707344055176,8.935318946838379
8.895286560058594,8.665820121765137
8.587002754211426,8.520387649536133
8.406874656677246,8.405654907226562
8.292126655578613,8.33420181274414
8.188163757324219,8.282310485839844
8.118663787841797,8.238212585449219
8.055447578430176,8.192420959472656
8.003597259521484,8.196701049804688
7.957393646240234,8.155428886413574
7.9149909019470215,8.1308012008667
7.902761936187744,8.078411102294922
7.867372512817383,8.06905746459961
7.838676929473877,8.098167419433594
7.8263678550720215,8.075443267822266
7.812869071960449,8.067941665649414
7.794486045837402,8.033753395080566
7.785822868347168,8.028385162353516
7.778509140014648,8.03158950805664
7.7682013511657715,8.019954681396484
7.753333568572998,8.040562629699707
7.744941234588623,8.016526222229004
7.738922119140625,8.020621299743652
7.736493110656738,8.037483215332031
7.730693817138672,8.01999282836914
7.723568916320801,8.002309799194336
7.708670616149902,8.007381439208984
